Management_Detailed,Management_Group,School_Category,Gender_Type,Geography,Total_Schools,Electricity,Drinking Water,Toilets (All),Toilets (Boys),Toilets (Girls),Handwash,Medical Checkup,Ramps,Internet,Computers
Other Central Govt./PSU Schools,Government,Secondary,Co.Educational,Urban,45,45,45,45,45,45,45,36,38,44,43
Veda Schools/Gurukuls/Pathashalas(Aided/Unaided),Govt Aided,Secondary,Boys,Urban,2,2,2,2,2,0,2,2,1,1,1
Veda Schools/Gurukuls/Pathashalas(Aided/Unaided),Govt Aided,Secondary,Co.Educational,Urban,2,2,2,2,2,2,2,2,1,2,2
Jawahar Navodaya Vidyalaya,Government,Middle,Co.Educational,Urban,3,3,3,3,3,3,3,3,2,3,3
Jawahar Navodaya Vidyalaya,Government,Secondary,Co.Educational,Urban,129,129,129,129,129,129,129,128,120,129,129
Sainik School,Other,Secondary,Girls,Urban,1,1,1,1,0,1,1,1,0,1,1
Other Central Govt./PSU Schools,Government,Secondary,Boys,Urban,3,3,3,3,3,0,3,2,2,3,2
Other Central Govt./PSU Schools,Government,Secondary,Girls,Urban,1,1,1,1,0,1,1,1,1,1,1
Unrecognized,Other,Secondary,Girls,Urban,9,8,9,9,0,9,9,3,5,3,2
Railway School,Other,Secondary,Boys,Urban,1,1,1,1,1,0,1,1,0,0,1
Madarsa Unrecognized,Other,Secondary,Girls,Urban,1,1,1,1,0,1,1,1,1,1,1
Ministry of Labour,Other,Secondary,Co.Educational,Urban,1,1,1,1,1,1,1,1,1,1,1
